Reittitunnus	Nimi	Japi_id	Pono	Jakelukohde	Elementtinumero	KRD_Vyohyke	I_koordinatti	P_koordinatti	Japityyppi	Matkajapille	Hissi	Kerros	jnro	Jakti Internal Sequence
6210010	Piispanpolku 3 as 1	437666	62100	186199	244733	3	3297464	6991193	4062	0			100	1
6210010	Piispanpolku 3 as 2	437667	62100	186199	244733	3	3297464	6991193	4062	0			110	2
6210010	Piispanpolku 3 as 3	437668	62100	186199	244733	3	3297464	6991193	4062	0			120	3
6210010	Piispanpolku 3 as 4	437669	62100	186199	244733	3	3297464	6991193	4062	0			130	4
6210010	Piispanpolku 3 as 5	437670	62100	186199	244733	3	3297464	6991193	4062	0			140	5
6210010	Piispanpolku 3 as 6	437671	62100	186199	244733	3	3297464	6991193	4062	0			150	6
6210010	Piispanpolku 3 as 7	437672	62100	186199	244733	3	3297464	6991193	4062	0			160	7
6210010	Piispanpolku 3 as 8	437673	62100	186199	244733	3	3297464	6991193	4062	0			170	8
6210010	Piispanpolku 3 as 9	437674	62100	186199	244733	3	3297463	6991189	4062	0			180	1
6210010	Piispanpolku 3 as 10	437675	62100	186199	244733	3	3297463	6991189	4062	0			190	2
6210010	Piispanpolku 3 as 11	437676	62100	186199	244733	3	3297463	6991189	4062	0			200	3
6210010	Piispanpolku 3 as 12	437677	62100	186199	244733	3	3297463	6991189	5009	0			210	4
6210010	Piispanpolku 3 as 13	437678	62100	186199	244733	3	3297463	6991189	4062	0			220	5
6210010	Piispanpolku 3 as 14	437679	62100	186199	244733	3	3297463	6991189	4062	0			230	6
6210010	Piispanpolku 3 as 15	437680	62100	186199	244733	3	3297463	6991189	4062	0			240	7
6210010	Piispanpolku 3 as 16	437681	62100	186199	244733	3	3297463	6991189	4062	0			250	8
6210010	Piispanpolku 4	437682	62100	186200	244733	3	3297499	6991162	4071	0			270	1
6210010	Piispanpolku 5	437684	62100	186202	244733	3	3297495	6991131	4071	0			290	1
